Serial_No,Report_Name,Reporting_Data_attribute,Data_Attributes_contributing_to_reporting_attributes,Row_Code,Column_Code,Measure,Source,Tab,Sub_part,Mart,Mart_Logic,SQL_Query,Frequency
423,Schedule V,Loan Outstandings,(a) Of (iii) above loan against the security of shares/ debentures / bonds,R1341,C216,No. of accounts,NA,part-1,Part-1C,,,,monthly
425,Schedule V,Loan Outstandings,3-Total,R1343,C216,No. of accounts,derived ,part-1,Part-1C,,,,monthly
426,Schedule V,Loan Outstandings,1- Housing Loans,R1319,C216,Gross carrying amount (Note-2),derived ,part-1,Part-1C,,,,monthly
427,Schedule V,Loan Outstandings,1.1-Individuals,R1320,C217,Gross carrying amount (Note-2),derived ,part-1,Part-1C,,,,monthly
428,Schedule V,Loan Outstandings,(i) for construction/purchase of new units,R1321,C217,Gross carrying amount (Note-2),Mart,part-1,Part-1C,Outstanding_mart,"populate sum(HL_bifurcation_of__EAD) where,
1- Customer_type = 'INDIVIDUAL'
2- nhb_Product = ('Purchase', 'Construction')","SELECT sum(HL_bifurcation_of__EAD) 
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'INDIVIDUAL'
AND Product IN ('Purchase', 'Construction')
AND Report_Date IN ({{report_dates}})",monthly
429,Schedule V,Loan Outstandings,"(a) Out of the 1.1(i) above, loans granted for purchase of dwelling units from builders (under construction + completed)",R1322,C217,Gross carrying amount (Note-2),Mart,part-1,Part-1C,Outstanding_mart,"populate sum(HL_POS) where,
Transaction_structure = ('Builder Purchase', 'General APF')","SELECT  sum(HL_POS) 
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Transaction_structure IN ('BUILDER_PURCHASE', 'GENERAL_APF')
AND Report_Date IN ({{report_dates}})
",monthly
430,Schedule V,Loan Outstandings,"(b) Out of the 1.1(i) above, loans granted for Plot + Construction",R1323,C217,Gross carrying amount (Note-2),Mart,part-1,Part-1C,Outstanding_mart,"populate sum(HL_POS) where,
1- Customer_type = 'INDIVIDUAL'
2- system_product = 'Purchase and Construction'","SELECT count(HL_POS) 
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'INDIVIDUAL'
AND product = 'Purchase and Construction'
AND Report_Date IN ({{report_dates}})",monthly
431,Schedule V,Loan Outstandings,(ii) for purchasing old units (Resale),R1324,C217,Gross carrying amount (Note-2),Mart,part-1,Part-1C,Outstanding_mart,"populate sum(HL_bifurcation_of__EAD)   where,
1- Customer_type = 'INDIVIDUAL'
2- nhb_Product = 'Resale Property Purchase'","SELECT  sum(HL_bifurcation_of__EAD)  
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'INDIVIDUAL'
AND Product = 'Resale Property Purchase'
AND Report_Date IN ({{report_dates}})",monthly
432,Schedule V,Loan Outstandings,(iii) for repair & renovation of existing units,R1325,C217,Gross carrying amount (Note-2),Mart,part-1,Part-1C,Outstanding_mart,"populate sum(HL_bifurcation_of__EAD)   where,
1- Customer_type = 'INDIVIDUAL'
2- nhb_Product = 'Repair and Renovation Loan'","SELECT  sum(HL_bifurcation_of__EAD)  
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'INDIVIDUAL'
AND Product = 'Repair and Renovation Loan'
AND Report_Date IN ({{report_dates}})",monthly
433,Schedule V,Loan Outstandings,1.2-Builders and Corporates,R1326,C217,Gross carrying amount (Note-2),derived ,part-1,Part-1C,,,,monthly
434,Schedule V,Loan Outstandings,(i) Residential Projects,R1327,C217,Gross carrying amount (Note-2),Mart,part-1,Part-1C,Outstanding_mart,"populate sum(HL_bifurcation_of__EAD)  where,
1- nhb_Product <> 'Other Loan'
2- CRE_RH_Tagging is not null","SELECT  sum(HL_bifurcation_of__EAD)  
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Product <> 'OTHER LOAN'
AND CRE_RH_Tagging is not null
AND Report_Date IN ({{report_dates}})",monthly
435,Schedule V,Loan Outstandings,"(a) Out of the 1.2(i) above, Loans for Slum Rehabilitation Authority (SRA)",R1328,C217,Gross carrying amount (Note-2),NA,part-1,Part-1C,,,,monthly
437,Schedule V,Loan Outstandings,2-Non-Housing Loans,R1330,C217,Gross carrying amount (Note-2),derived ,part-1,Part-1C,,,,monthly
438,Schedule V,Loan Outstandings,2.1-Individuals,R1331,C217,Gross carrying amount (Note-2),derived ,part-1,Part-1C,,,,monthly
439,Schedule V,Loan Outstandings,(i) for mortgage/property/home equity loans/LAP,R1332,C217,Gross carrying amount (Note-2),NA,part-1,Part-1C,,,,monthly
440,Schedule V,Loan Outstandings,(ii) Lease Rental Discounting,R1333,C217,Gross carrying amount (Note-2),NA,part-1,Part-1C,,,,monthly
441,Schedule V,Loan Outstandings,(iii) Others,R1334,C217,Gross carrying amount (Note-2),NA,part-1,Part-1C,,,,monthly
442,Schedule V,Loan Outstandings,(a) Of (iii) above loan against the security of shares/ debentures / bonds,R1335,C217,Gross carrying amount (Note-2),NA,part-1,Part-1C,,,,monthly
443,Schedule V,Loan Outstandings,(b) Of (iii) above loans against security of gold jewellery,R1336,C217,Gross carrying amount (Note-2),NA,part-1,Part-1C,,,,monthly
444,Schedule V,Loan Outstandings,2.2-Builders and Corporates,R1337,C217,Gross carrying amount (Note-2),derived ,part-1,Part-1C,,,,monthly
445,Schedule V,Loan Outstandings,(i) Non-residential projects,R1338,C217,Gross carrying amount (Note-2),NA,part-1,Part-1C,,,,monthly
446,Schedule V,Loan Outstandings,(ii) Lease Rental Discounting,R1339,C217,Gross carrying amount (Note-2),NA,part-1,Part-1C,,,,monthly
447,Schedule V,Loan Outstandings,(iii) Others,R1340,C217,Gross carrying amount (Note-2),Mart,part-1,Part-1C,Outstanding_mart,"populate sum(NHL_bifurcation_of__EAD)   where,
1- nhb_Product = 'Other Loan'
2- Customer_type = 'CORPORATE'","SELECT  sum(NHL_bifurcation_of__EAD)  
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Product = 'OTHER LOAN'
AND Customer_type = 'CORPORATE'
AND Report_Date IN ({{report_dates}})",monthly
448,Schedule V,Loan Outstandings,(a) Of (iii) above loan against the security of shares/ debentures / bonds,R1341,C217,Gross carrying amount (Note-2),NA,part-1,Part-1C,,,,monthly
451,Schedule V,Loan under Moratorium,Retail Accounts,R1344,C218,No. of accounts,NA,part-1,Part-1D,,,,monthly
452,Schedule V,Loan under Moratorium,Non-Retail Accounts,R1345,C218,No. of accounts,NA,part-1,Part-1D,,,,monthly
453,Schedule V,Loan under Moratorium,Retail Accounts,R1344,C219,Amt. outstanding Reporting month's end,NA,part-1,Part-1D,,,,monthly
454,Schedule V,Loan under Moratorium,Non-Retail Accounts,R1345,C219,Amt. outstanding Reporting month's end,NA,part-1,Part-1D,,,,monthly
455,Schedule V,NPAs (Credit Impaired),1-Housing Loans,R1347,C220,No. of accounts,derived ,part-1,Part-1E,,,,monthly
456,Schedule V,NPAs (Credit Impaired),1.1-Individuals,R1348,C220,No. of accounts,derived ,part-1,Part-1E,,,,monthly
457,Schedule V,NPAs (Credit Impaired),(i) for construction/purchase of new units,R1349,C220,No. of accounts,Mart,part-1,Part-1E,Outstanding_mart,"populate count(Loan_no_new) where,
1- Customer_type = 'INDIVIDUAL'
2- CRE_RH_Tagging is null
3- nhb_Product = ('Purchase', 'Construction')
4- Asset_classification_Ind_AS = Stage 3","SELECT COUNT(Loan_number_new)
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'INDIVIDUAL'
  AND CRE_RH_Tagging  is null
  AND PRODUCT IN ('Purchase', 'Construction')
  AND Asset_classification_Ind_AS = 'Stage 3'
  AND Report_Date IN ({{report_dates}})",monthly
458,Schedule V,NPAs (Credit Impaired),"(a) Out of the 1.1(i) above, loans granted for purchase of dwelling units from builders (under construction + completed)",R1350,C220,No. of accounts,Mart,part-1,Part-1E,Outstanding_mart,"populate count(Loan_no_new) where,
1- Transaction_structure = ('Builder Purchase', 'General APF')
2- Staging = 'Stage 3'","SELECT COUNT(Loan_number_new)
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Transaction_structure IN ('BUILDER_PURCHASE', 'GENERAL_APF')
AND Asset_classification_Ind_AS = 'Stage 3'
AND Report_Date IN ({{report_dates}})",monthly
459,Schedule V,NPAs (Credit Impaired),"(b) Out of the 1.1(i) above, loans granted for Plot + Construction",R1351,C220,No. of accounts,Mart,part-1,Part-1E,Outstanding_mart,"populate count(Loan_no_new) where,
1- Customer_type = 'INDIVIDUAL'
2- system_product = 'Purchase and Construction'
3- Staging = 'Stage 3'","SELECT COUNT(Loan_number_new)
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'INDIVIDUAL'
AND product = 'Purchase and Construction'
AND Asset_classification_Ind_AS = 'Stage 3'
AND Report_Date IN ({{report_dates}})",monthly
460,Schedule V,NPAs (Credit Impaired),(ii) for purchasing old units (Resale),R1352,C220,No. of accounts,Mart,part-1,Part-1E,Outstanding_mart,"populate count(Loan_no_new) where,
1- Customer_type = 'INDIVIDUAL'
2- nhb_Product = 'Resale Property Purchase'
3- Staging = Stage3","SELECT COUNT(Loan_number_new)
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'INDIVIDUAL'
AND product = 'Resale Property Purchase'
AND Asset_classification_Ind_AS = 'Stage 3'
AND Report_Date IN ({{report_dates}})",monthly
461,Schedule V,NPAs (Credit Impaired),(iii) for repair & renovation of existing units,R1353,C220,No. of accounts,Mart,part-1,Part-1E,Outstanding_mart,"populate count(Loan_no_new) where,
1- Customer_type = 'INDIVIDUAL'
2- nhb_Product = 'Repair and Renovation Loan'
3- Staging = Stage3","SELECT COUNT(Loan_number_new)
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'INDIVIDUAL'
AND product = 'Repair and Renovation Loan'
AND Asset_classification_Ind_AS = 'Stage 3'
AND Report_Date IN ({{report_dates}})",monthly
462,Schedule V,NPAs (Credit Impaired),1.2-Builders and Corporates,R1354,C220,No. of accounts,derived ,part-1,Part-1E,,,,monthly
463,Schedule V,NPAs (Credit Impaired),(i) Residential Projects,R1355,C220,No. of accounts,Mart,part-1,Part-1E,Outstanding_mart,"populate count(Loan_no_new) where,
1- nhb_Product <> 'Other Loan'
2- CRE_RH_Tagging is not null
3- Asset_classification_Ind_AS = Stage 3","SELECT COUNT(Loan_number_new)
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Product <> 'OTHER LOAN'
AND CRE_RH_Tagging is not null
AND Asset_classification_Ind_AS = 'Stage 3'
AND Report_Date IN ({{report_dates}})",monthly
464,Schedule V,NPAs (Credit Impaired),"(a) Out of the 1.2(i) above, Loans for Slum Rehabilitation Authority (SRA)",R1356,C220,No. of accounts,NA,part-1,Part-1E,,,,monthly
466,Schedule V,NPAs (Credit Impaired),2-Non-Housing Loans,R1358,C220,No. of accounts,derived ,part-1,Part-1E,,,,monthly
467,Schedule V,NPAs (Credit Impaired),2.1-Individuals,R1359,C220,No. of accounts,derived ,part-1,Part-1E,,,,monthly
468,Schedule V,NPAs (Credit Impaired),(i) for mortgage/property/home equity loans/LAP,R1360,C220,No. of accounts,NA,part-1,Part-1E,,,,monthly
469,Schedule V,NPAs (Credit Impaired),(ii) Lease Rental Discounting,R1361,C220,No. of accounts,NA,part-1,Part-1E,,,,monthly
470,Schedule V,NPAs (Credit Impaired),(iii) Others,R1362,C220,No. of accounts,NA,part-1,Part-1E,,,,monthly
471,Schedule V,NPAs (Credit Impaired),(a) Of (iii) above loan against the security of shares/ debentures / bonds,R1363,C220,No. of accounts,NA,part-1,Part-1E,,,,monthly
472,Schedule V,NPAs (Credit Impaired),(b) Of (iii) above loans against security of gold jewellery,R1364,C220,No. of accounts,NA,part-1,Part-1E,,,,monthly
473,Schedule V,NPAs (Credit Impaired),2.2-Builders and Corporates,R1365,C220,No. of accounts,derived ,part-1,Part-1E,,,,monthly
474,Schedule V,NPAs (Credit Impaired),(i) Non-residential projects,R1366,C220,No. of accounts,NA,part-1,Part-1E,,,,monthly
475,Schedule V,NPAs (Credit Impaired),(ii) Lease Rental Discounting,R1367,C220,No. of accounts,NA,part-1,Part-1E,,,,monthly
476,Schedule V,NPAs (Credit Impaired),(iii) Others,R1368,C220,No. of accounts,Mart,part-1,Part-1E,Outstanding_mart,"populate count(Loan_no_new) where,
1- nhb_Product = 'Other Loan'
2- Customer_type = 'CORPORATE'","SELECT COUNT(Loan_number_new)
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Product = 'OTHER LOAN'
AND Customer_type = 'CORPORATE'
AND Report_Date IN ({{report_dates}})",monthly
477,Schedule V,NPAs (Credit Impaired),(a) Of (iii) above loan against the security of shares/ debentures / bonds,R1369,C220,No. of accounts,NA,part-1,Part-1E,,,,monthly
479,Schedule V,NPAs (Credit Impaired),3-Gross Non-performing Assets,R1371,C220,No. of accounts,derived ,part-1,Part-1E,,,,monthly
480,Schedule V,NPAs (Credit Impaired),4-Provisions for NPAs/ (Loss Allowances),R1372,C220,No. of accounts,Mart,part-1,Part-1E,Outstanding_mart,Provision_as_per_IRACP_norms,,monthly
481,Schedule V,NPAs (Credit Impaired),6-Net Non-performing Assets,R1373,C220,No. of accounts,derived ,part-1,Part-1E,,,,monthly
482,Schedule V,NPAs (Credit Impaired),7-Gross Loans & advances,R1374,C220,No. of accounts,NA,part-1,Part-1E,,,,monthly
483,Schedule V,NPAs (Credit Impaired),8-Net Loans & advances,R1375,C220,No. of accounts,NA,part-1,Part-1E,,,,monthly
484,Schedule V,NPAs (Credit Impaired),9-Gross NPA % to Gross Loans & advances,R1376,C220,No. of accounts,derived ,part-1,Part-1E,,,,monthly
485,Schedule V,NPAs (Credit Impaired),10-Net NPA % to Net Loans & advances,R1377,C220,No. of accounts,derived ,part-1,Part-1E,,,,monthly
486,Schedule V,NPAs (Credit Impaired),1-Housing Loans,R1347,C221,Amt. outstanding Reporting month's end,derived ,part-1,Part-1E,,,,monthly
487,Schedule V,NPAs (Credit Impaired),1.1-Individuals,R1348,C221,Amt. outstanding Reporting month's end,derived ,part-1,Part-1E,,,,monthly
488,Schedule V,NPAs (Credit Impaired),(i) for construction/purchase of new units,R1349,C221,Amt. outstanding Reporting month's end,Mart,part-1,Part-1E,Outstanding_mart,"populate sum(HL_bifurcation_of__EAD) where,
1- Customer_type = 'INDIVIDUAL'
2- CRE_RH_Tagging is null
3- nhb_Product = ('Purchase', 'Construction')
4- Asset_classification_Ind_AS = Stage 3","SELECT sum(HL_bifurcation_of__EAD) 
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'INDIVIDUAL'
AND CRE_RH_Tagging is null
AND Product IN ('Purchase', 'Construction')
AND Asset_classification_Ind_AS = 'Stage 3'
AND Report_Date IN ({{report_dates}})",monthly
489,Schedule V,NPAs (Credit Impaired),"(a) Out of the 1.1(i) above, loans granted for purchase of dwelling units from builders (under construction + completed)",R1350,C221,Amt. outstanding Reporting month's end,Mart,part-1,Part-1E,Outstanding_mart,"populate sum(HL_bif_of__EAD) where,
1- Transaction_structure = ('Builder Purchase', 'General APF')
2- Staging = 'Stage 3'","SELECT sum(HL_bifurcation_of__EAD) 
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Transaction_structure IN ('BUILDER_PURCHASE', 'GENERAL_APF')
AND Asset_classification_Ind_AS = 'Stage 3'
AND Report_Date IN ({{report_dates}})",monthly
490,Schedule V,NPAs (Credit Impaired),"(b) Out of the 1.1(i) above, loans granted for Plot + Construction",R1351,C221,Amt. outstanding Reporting month's end,Mart,part-1,Part-1E,Outstanding_mart,"populate sum(HL_Bifur_of__EAD) where,
1- Customer_type = 'INDIVIDUAL'
2- system_product = 'Purchase and Construction'
3- Staging = 'Stage 3'","SELECT sum(HL_bifurcation_of__EAD) 
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'INDIVIDUAL'
AND product = 'Purchase and Construction'
AND Asset_classification_Ind_AS = 'Stage 3'
AND Report_Date IN ({{report_dates}})",monthly
491,Schedule V,NPAs (Credit Impaired),(ii) for purchasing old units (Resale),R1352,C221,Amt. outstanding Reporting month's end,Mart,part-1,Part-1E,Outstanding_mart,"populate sum(HL_bifurcation_of__EAD) where,
1- Customer_type = 'INDIVIDUAL'
2- nhb_Product = 'Resale Property Purchase'
3- Staging = Stage3","SELECT sum(HL_bifurcation_of__EAD) 
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'INDIVIDUAL'
AND product = 'Resale Property Purchase'
AND Asset_classification_Ind_AS = 'Stage 3'
AND Report_Date IN ({{report_dates}})",monthly
492,Schedule V,NPAs (Credit Impaired),(iii) for repair & renovation of existing units,R1353,C221,Amt. outstanding Reporting month's end,Mart,part-1,Part-1E,Outstanding_mart,"populate sum(HL_bifurcation_of__EAD) where,
1- Customer_type = 'INDIVIDUAL'
2- nhb_Product = 'Repair and Renovation Loan'
3- Staging = Stage3","SELECT sum(HL_bifurcation_of__EAD) 
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'INDIVIDUAL'
AND product = 'Repair and Renovation Loan'
AND Asset_classification_Ind_AS = 'Stage 3'
AND Report_Date IN ({{report_dates}})",monthly
493,Schedule V,NPAs (Credit Impaired),1.2-Builders and Corporates,R1354,C221,Amt. outstanding Reporting month's end,derived ,part-1,Part-1E,,,,monthly
494,Schedule V,NPAs (Credit Impaired),(i) Residential Projects,R1355,C221,Amt. outstanding Reporting month's end,Mart,part-1,Part-1E,Outstanding_mart,"populate sum(HL_bifurcation_of__EAD) where,
1- nhb_Product <> 'Other Loan'
2- CRE_RH_Tagging is not null
3- Asset_classification_Ind_AS = Stage 3","SELECT sum(HL_bifurcation_of__EAD) 
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Product <> 'OTHER LOAN'
AND CRE_RH_Tagging is not null
AND Asset_classification_Ind_AS = 'Stage 3'
AND Report_Date IN ({{report_dates}})",monthly
495,Schedule V,NPAs (Credit Impaired),"(a) Out of the 1.2(i) above, Loans for Slum Rehabilitation Authority (SRA)",R1356,C221,Amt. outstanding Reporting month's end,NA,part-1,Part-1E,,,,monthly
497,Schedule V,NPAs (Credit Impaired),2-Non-Housing Loans,R1358,C221,Amt. outstanding Reporting month's end,derived ,part-1,Part-1E,,,,monthly
498,Schedule V,NPAs (Credit Impaired),2.1-Individuals,R1359,C221,Amt. outstanding Reporting month's end,derived ,part-1,Part-1E,,,,monthly
499,Schedule V,NPAs (Credit Impaired),(i) for mortgage/property/home equity loans/LAP,R1360,C221,Amt. outstanding Reporting month's end,NA,part-1,Part-1E,,,,monthly
500,Schedule V,NPAs (Credit Impaired),(ii) Lease Rental Discounting,R1361,C221,Amt. outstanding Reporting month's end,NA,part-1,Part-1E,,,,monthly
501,Schedule V,NPAs (Credit Impaired),(iii) Others,R1362,C221,Amt. outstanding Reporting month's end,NA,part-1,Part-1E,,,,monthly
502,Schedule V,NPAs (Credit Impaired),(a) Of (iii) above loan against the security of shares/ debentures / bonds,R1363,C221,Amt. outstanding Reporting month's end,NA,part-1,Part-1E,,,,monthly
503,Schedule V,NPAs (Credit Impaired),(b) Of (iii) above loans against security of gold jewellery,R1364,C221,Amt. outstanding Reporting month's end,NA,part-1,Part-1E,,,,monthly
504,Schedule V,NPAs (Credit Impaired),2.2-Builders and Corporates,R1365,C221,Amt. outstanding Reporting month's end,derived ,part-1,Part-1E,,,,monthly
505,Schedule V,NPAs (Credit Impaired),(i) Non-residential projects,R1366,C221,Amt. outstanding Reporting month's end,NA,part-1,Part-1E,,,,monthly
506,Schedule V,NPAs (Credit Impaired),(ii) Lease Rental Discounting,R1367,C221,Amt. outstanding Reporting month's end,NA,part-1,Part-1E,,,,monthly
507,Schedule V,NPAs (Credit Impaired),(iii) Others,R1368,C221,Amt. outstanding Reporting month's end,Mart,part-1,Part-1E,Outstanding_mart,"populate sum(NHL_bifurcation_of__EAD) where,
1- nhb_Product = 'Other Loan'
2- Customer_type = 'CORPORATE'","SELECT sum(NHL_bifurcation_of__EAD) 
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Product = 'OTHER LOAN'
AND Customer_type = 'CORPORATE'
AND Report_Date IN ({{report_dates}})",monthly
508,Schedule V,NPAs (Credit Impaired),(a) Of (iii) above loan against the security of shares/ debentures / bonds,R1369,C221,Amt. outstanding Reporting month's end,NA,part-1,Part-1E,,,,monthly
510,Schedule V,NPAs (Credit Impaired),3-Gross Non-performing Assets,R1371,C221,Amt. outstanding Reporting month's end,derived ,part-1,Part-1E,,,,monthly
511,Schedule V,NPAs (Credit Impaired),4-Provisions for NPAs/ (Loss Allowances),R1372,C221,Amt. outstanding Reporting month's end,Mart,part-1,Part-1E,Outstanding_mart,Provision_as_per_IRACP_norms,,monthly
512,Schedule V,NPAs (Credit Impaired),6-Net Non-performing Assets,R1373,C221,Amt. outstanding Reporting month's end,derived ,part-1,Part-1E,,,,monthly
513,Schedule V,NPAs (Credit Impaired),7-Gross Loans & advances,R1374,C221,Amt. outstanding Reporting month's end,NA,part-1,Part-1E,,,,monthly
514,Schedule V,NPAs (Credit Impaired),8-Net Loans & advances,R1375,C221,Amt. outstanding Reporting month's end,NA,part-1,Part-1E,,,,monthly
515,Schedule V,NPAs (Credit Impaired),9-Gross NPA % to Gross Loans & advances,R1376,C221,Amt. outstanding Reporting month's end,derived ,part-1,Part-1E,,,,monthly
516,Schedule V,NPAs (Credit Impaired),10-Net NPA % to Net Loans & advances,R1377,C221,Amt. outstanding Reporting month's end,derived ,part-1,Part-1E,,,,monthly
517,Schedule V,Interest Rate Structure,Retail Prime Lending Rate - Housing,R1464,C270,Fixed Rate- Min%,Mart,Part-5,Part-5,Outstanding_mart,"Populate min(ROI_as_on_reporting_date)
where,
1- nhb_Product <> 'Other Loan'
2- ROI_Type = 'Fixed'","SELECT MIN(ROI_as_on_reporting_date) 
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Product <> 'OTHER LOAN' 
AND ROI_Type = 'FIXED'
AND Report_Date IN ({{report_dates}})",monthly
518,Schedule V,Interest Rate Structure,Retail Prime Lending Rate - Non-Housing,R1465,C271,Fixed Rate- Min%,Mart,Part-5,Part-5,Outstanding_mart,"Populate min(ROI_as_on_reporting_date)
where,
1- nhb_Product = 'Other Loan'
2- ROI_Type = 'Fixed'","SELECT MIN(ROI_as_on_reporting_date) 
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Product = 'OTHER LOAN' 
AND ROI_Type = 'FIXED'
AND Report_Date IN ({{report_dates}})",monthly
519,Schedule V,Interest Rate Structure,Retail Prime Lending Rate - Housing,R1464,C272,Fixed Rate- Maximum %,Mart,Part-5,Part-5,Outstanding_mart,"Populate max(ROI_as_on_reporting_date)
where,
1- nhb_Product <> 'Other Loan'
2- ROI_Type = 'Fixed'","SELECT MAX(ROI_as_on_reporting_date) 
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Product <> 'OTHER LOAN' 
AND ROI_Type = 'FIXED'
AND Report_Date IN ({{report_dates}})",monthly
520,Schedule V,Interest Rate Structure,Retail Prime Lending Rate - Non-Housing,R1465,C273,Fixed Rate- Maximum %,Mart,Part-5,Part-5,Outstanding_mart,"Populate max(ROI_as_on_reporting_date)
where,
1- nhb_Product = 'Other Loan'
2- ROI_Type = 'Fixed'","SELECT MAX(ROI_as_on_reporting_date) 
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Product = 'OTHER LOAN' 
AND ROI_Type = 'FIXED'
AND Report_Date IN ({{report_dates}})",monthly
521,Schedule V,Interest Rate Structure,Retail Prime Lending Rate - Housing,R1464,C270,Floating Rate- Min%,Mart,Part-5,Part-5,Outstanding_mart,"Populate min(ROI_as_on_reporting_date)
where,
1- nhb_Product <> 'Other Loan'
2- ROI_Type = 'Floating'","SELECT MIN (ROI_as_on_reporting_date) 
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Product <> 'OTHER LOAN' 
AND ROI_Type = 'FLOATING'
AND Report_Date IN ({{report_dates}})",monthly
522,Schedule V,Interest Rate Structure,Retail Prime Lending Rate - Non-Housing,R1465,C271,Floating Rate- Min%,Mart,Part-5,Part-5,Outstanding_mart,"Populate min(ROI_as_on_reporting_date)
where,
1- nhb_Product = 'Other Loan'
2- ROI_Type = 'Floating'","SELECT MIN (ROI_as_on_reporting_date) 
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Product  = 'OTHER LOAN' 
AND ROI_Type = 'FLOATING'
AND Report_Date IN ({{report_dates}})",monthly
523,Schedule V,Interest Rate Structure,Retail Prime Lending Rate - Housing,R1464,C272,Floating Rate- Maximum %,Mart,Part-5,Part-5,Outstanding_mart,"Populate max(ROI_as_on_reporting_date)
where,
1- nhb_Product <> 'Other Loan'
2- ROI_Type = 'Floating'","SELECT MAX (ROI_as_on_reporting_date) 
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Product  <> 'OTHER LOAN' 
AND ROI_Type = 'FLOATING'
AND Report_Date IN ({{report_dates}})",monthly
524,Schedule V,Interest Rate Structure,Retail Prime Lending Rate - Non-Housing,R1465,C273,Floating Rate- Maximum %,Mart,Part-5,Part-5,Outstanding_mart,"Populate max(ROI_as_on_reporting_date)
where,
1- nhb_Product = 'Other Loan'
2- ROI_Type = 'Floating'","SELECT MAX (ROI_as_on_reporting_date) 
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Product  = 'OTHER LOAN' 
AND ROI_Type = 'FLOATING'
AND Report_Date IN ({{report_dates}})",monthly
525,Schedule V,Interest Rate Structure,1-Housing Loan to Individuals 1.1-Upto 5%,R1468,C270,Fixed rate- No. of accounts,Mart,Part-5,Part-5,Outstanding_mart,"Select count(Loan_number_new) where
1- Customer_type = 'INDIVIDUAL'
2- nhb_Product <> 'Other Loan'
3- ROI_Type = 'Fixed'
4- ROI_as_on_reporting_date <= 5%","SELECT count(Loan_number_new)
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'INDIVIDUAL'
AND nhb_Product <> 'OTHER LOAN'
AND ROI_Type = 'FIXED'
AND ROI_as_on_reporting_date <= '5%'
AND Report_Date IN ({{report_dates}});",monthly
